Brian Hernandez | Zeus | Poodle | 7 | 39 | 11.13 | 17/04/2026 12:13 a. m.
Barbara Rodriguez | Max | Dashchund | 18 | 80 | 13.85 | 28/04/2026 11:48 a. m.
Luciana Miller | Duke | chihuahua | 2 | 19 | 1.77 | 22/04/2026 10:56 a. m.
Joseph Smith | Daisy | Chiuahua | 18 | 80 | 9.64 | 30/04/2026 07:56 p. m.
Noah Anderson | Bruno | Chihuahua | 1 | 13 | 2.57 | 15/04/2026 06:52 a. m.
joshua miller | Cooper | Beagle | 11 | 52 | 13.09 | 19/04/2026 01:08 p. m.
Christopher Gonzalez | Jack | Dachshund | 3 | 23 | 9.39 | 20/04/2026 03:35 p. m.
robert wilson | Rocky | Pudle | 18 | 80 | 12.77 | 15/04/2026 12:06 a. m.
Mary Hernandez | Jack | Poodle | 18 | 80 | 17.21 | 19/04/2026 09:18 p. m.
CHARLOTTE DAVIS | Cooper | Pudle | 16 | 72 | 14.17 | 16/04/2026 07:57 p. m.
Elizabeth Garcia | Thor | Siberian Husky | 18 | 80 | 25.0 | 22/04/2026 11:45 a. m.
Matthew Garcia | Luna | German Shepherd | 18 | 80 | 29.18 | 23/04/2026 09:48 a. m.
Matias Jones | Molly | French Bulldog | 10 | 48 | 13.51 | 13/04/2026 11:50 a. m.
Patricia Jackson | Lola | Beagle | 14 | 64 | 9.21 | 15/04/2026 05:33 p. m.
Mia Johnson | Jack | Chihuahua | 0 | 0 | 1.84 | 21/04/2026 12:19 a. m.
Isabella Sanchez | Luna | Chihuahua | 1 | 13 | 3.49 | 12/04/2026 08:52 a. m.
edward torres | Rocky | beagle | 18 | 80 | 11.86 | 25/04/2026 05:17 p. m.
Daniela Garcia | Coco | Golden Retriever | 4 | 27 | 22.6 | 06/05/2026 03:45 a. m.
susan jackson | Duke | Poodle | 0 | 0 | 14.06 | 06/05/2026 03:55 a. m.
VALERIA GONZALEZ | lola | French Bulldog | 5 | 31 | 13.92 | 12/04/2026 10:09 p. m.
Jessica Lopez | Cooper | Siberian Husky | 18 | 80 | 25.16 | 02/05/2026 02:46 p. m.
Joseph Harris | Toby | Poodle | 6 | 35 | 13.19 | 04/05/2026 01:13 a. m.
George Scott | Lola | Poodle | 18 | 80 | 8.98 | 17/04/2026 09:53 a. m.
Fernando Gonzalez | bella | Beagle | 9 | 47 | 10.57 | 29/04/2026 03:36 p. m.
Javier Davis | Max | Golden Retriever | 1 | 13 | 23.13 | 25/04/2026 11:31 a. m.
Lucas Sanchez | Coco | Poodle | 15 | 68 | 6.46 | 11/04/2026 11:19 p. m.
Susan Gonzalez | Duke | beagle | 10 | 48 | 10.33 | 01/05/2026 05:08 a. m.
Andrew Martinez | Bruno | French Bulldog | 1 | 13 | 13.38 | 15/04/2026 03:00 p. m.
Timothy Miller | Rocky | German Shepherd | 18 | 80 | 18.67 | 12/04/2026 01:31 p. m.
Lisa Young | Molly | Poodle | 3 | 23 | 4.36 | 11/04/2026 04:53 a. m.
Adela Hernandez | Rocky | german shepherd | 9 | 47 | 28.16 | 04/05/2026 10:42 p. m.
Emiliano Miller | Coco | Golden Retriver | 18 | 80 | 24.52 | 01/05/2026 12:12 p. m.
Benjamin Williams | Daisy | French Bulldog | 9 | 47 | 11.67 | 24/04/2026 01:11 p. m.
Mariana Thomas | Toby | German Shepherd | 14 | 64 | 24.59 | 27/04/2026 10:43 p. m.
Sofía Hernandez | Max | French Bulldog | 15 | 68 | 11.58 | 27/04/2026 06:50 p. m.
Jessica Garcia | Cooper | Beagle | 10 | 48 | 12.26 | 28/04/2026 08:09 a. m.
Martina Wilson | Luna | French Bulldog | 13 | 60 | 8.55 | 02/05/2026 01:42 p. m.
samuel garcia | Duke | Golden Retriever | 18 | 80 | 21.6 | 23/04/2026 01:41 p. m.
Isabella Jones | Cooper | Siberian Husky | 5 | 31 | 21.23 | 14/04/2026 09:20 p. m.
NICOLAS WILLIAMS | Bruno | Dachshund | 18 | 80 | 9.34 | 27/04/2026 11:24 a. m.
Nancy Wilson | Cooper | Poodle | 18 | 80 | 4.58 | 17/04/2026 03:08 a. m.
Lucas Rodriguez | Duke | German Shepherd | 18 | 80 | 28.77 | 16/04/2026 01:43 a. m.
Nancy Davis | Daisy | Dachshund | 18 | 80 | 8.95 | 15/04/2026 01:19 a. m.
Adela Scott | Max | German Shepart | 17 | 76 | 15.67 | 13/04/2026 12:00 a. m.
Jennifer Perez | Luna | Dachshund | 1 | 13 | 4.11 | 16/04/2026 05:31 p. m.
STEVEN GARCIA | Lola | Chihuahua | 2 | 19 | 3.13 | 10/04/2026 03:03 a. m.
Javier Gonzalez | Max | Poodle | 18 | 80 | 5.0 | 22/04/2026 04:39 p. m.
Karen Torres | Bella | Siberian Husky | 0 | 0 | 21.01 | 29/04/2026 12:02 p. m.
VALERIA MILLER | Jack | Chihuaua | 13 | 60 | 15.06 | 17/04/2026 02:27 a. m.
Ximena Taylor | Molly | German Shepherd | 18 | 80 | 28.45 | 04/05/2026 12:04 a. m.
Patricia Smith | Jack | Chihuahua | 1 | 13 | 3.91 | 11/04/2026 06:18 p. m.
Amelia Gonzalez | Coco | Beagle | 5 | 31 | 9.88 | 12/04/2026 02:58 a. m.
Joseph Allen | Thor | Poodle | 18 | 80 | 16.1 | 13/04/2026 04:52 a. m.
Santiago Williams | Jack | Beagle | 11 | 52 | 14.08 | 02/05/2026 10:27 a. m.
Andrew Johnson | Rocky | POODLE | 18 | 80 | 14.45 | 17/04/2026 05:49 p. m.
Ricardo Martinez | Jack | Dachshund | 7 | 39 | 4.97 | 28/04/2026 03:25 a. m.
Charlotte Wright | Daisy | Siberian Husky | 16 | 72 | 23.53 | 04/05/2026 10:12 p. m.
Daniel Rodriguez | Molly | siberian husky | 10 | 48 | 18.69 | 09/04/2026 09:32 p. m.
Jeffrey Taylor | Daisy | Dachshund | 18 | 80 | 4.96 | 30/04/2026 10:44 p. m.
Andrew Allen | Duke | Golden Retriever | 4 | 27 | 24.26 | 17/04/2026 01:27 a. m.
Michael Williams | Max | siberian husky | 0 | 0 | 25.93 | 17/04/2026 06:06 p. m.
Alejandro Rodriguez | Rocky | Poodle | 16 | 72 | 19.35 | 04/05/2026 07:06 a. m.
Matthew Scott | Coco | Golden Retriever | 14 | 64 | 27.91 | 21/04/2026 10:21 p. m.
Oliver Scott | Molly | German Shepherd | 1 | 13 | 19.16 | 24/04/2026 02:01 a. m.
Santiago King | Max | Beagle | 14 | 64 | 11.14 | 02/05/2026 06:12 p. m.
Leonardo King | Bella | Podle | 6 | 35 | 9.26 | 28/04/2026 04:48 a. m.
Robert Torres | Duke | Beagle | 18 | 80 | 14.96 | 24/04/2026 10:27 p. m.
Camila Wilson | Max | CHIHUAUA | 10 | 48 | 12.97 | 02/05/2026 09:42 p. m.
Timothy Thomas | Thor | Poodle | 18 | 80 | 3.86 | 26/04/2026 08:56 a. m.
Elizabeth Martinez | Lola | Poodle | 0 | 0 | 8.7 | 07/05/2026 12:19 a. m.
Liam Davis | Luna | French Bulldog | 6 | 35 | 11.66 | 11/04/2026 04:58 a. m.
Joshua Thompson | JACK | German Shepherd | 15 | 68 | 24.8 | 26/04/2026 06:25 a. m.
kevin wright | Toby | Poodle | 18 | 80 | 12.92 | 05/05/2026 12:20 a. m.
Jennifer Brown | Rocky | Podle | 15 | 68 | 13.79 | 02/05/2026 03:30 a. m.
William Martinez | Cooper | French Bulldog | 18 | 80 | 11.0 | 30/04/2026 01:27 a. m.
Sofía White | Coco | Golden Retriever | 8 | 43 | 23.46 | 19/04/2026 01:32 a. m.
Joaquin Hernandez | Coco | Poodle | 18 | 80 | 17.92 | 22/04/2026 09:52 p. m.
Lucas Allen | Bruno | German Shepear | 18 | 80 | 14.87 | 20/04/2026 08:25 a. m.
Liam Garcia | Zeus | Siberian Husky | 10 | 48 | 23.58 | 10/04/2026 12:20 p. m.
Kevin Martin | Thor | French Bulldog | 18 | 80 | 10.64 | 30/04/2026 08:50 p. m.
Patricia Allen | Luna | German Shepherd | 3 | 23 | 20.84 | 19/04/2026 05:27 a. m.
Edward Johnson | bella | Siberian Husky | 6 | 35 | 16.48 | 13/04/2026 10:49 a. m.
Mariana Martin | Bella | DACHSHUND | 18 | 80 | 6.83 | 12/04/2026 01:55 a. m.
Oliver Anderson | Cooper | Dachshund | 9 | 47 | 5.33 | 28/04/2026 06:58 p. m.
Nicolas Scott | Molly | Golden Retriever | 1 | 13 | 29.82 | 03/05/2026 12:26 p. m.
Richard Lopez | Rocky | Poodle | 14 | 64 | 15.02 | 28/04/2026 01:28 a. m.
ricardo rodriguez | Lola | Beagle | 17 | 76 | 13.27 | 15/04/2026 03:38 a. m.
Nancy Wright | Max | German Shepherd | 18 | 80 | 20.71 | 11/04/2026 04:46 a. m.
Karen Smith | Molly | Dachshund | 14 | 64 | 8.17 | 13/04/2026 10:10 a. m.
Victoria Rodriguez | Luna | Siberian Husky | 18 | 80 | 19.97 | 05/05/2026 01:15 p. m.
Paul Anderson | Coco | Chihuahua | 14 | 64 | 3.76 | 30/04/2026 11:25 p. m.
Emiliano Jones | Bruno | Siberian Husky | 9 | 47 | 22.6 | 17/04/2026 11:08 a. m.
Kevin Jones | Zeus | Siberian Husky | 10 | 48 | 21.95 | 02/05/2026 02:43 a. m.
Joaquin King | MAX | Chihuahua | 4 | 27 | 1.53 | 17/04/2026 12:48 p. m.
Mia Torres | Thor | Poodle | 10 | 48 | 3.18 | 17/04/2026 08:11 p. m.
Elizabeth Wright | Luna | Dachshund | 18 | 80 | 6.69 | 29/04/2026 09:06 a. m.
Harper Harris | Bella | Siberian Husky | 1 | 13 | 19.3 | 11/04/2026 07:09 p. m.
Robert Thomas | Duke | Siberian Husky | 18 | 80 | 20.85 | 05/05/2026 07:30 a. m.
Isabella Scott | Duke | Dachshund | 18 | 80 | 6.63 | 20/04/2026 12:44 a. m.
Christopher Thomas | Daisy | Siberian Husky | 18 | 80 | 19.39 | 10/04/2026 04:16 a. m.
Isabella King | Max | German Shepherd | 16 | 72 | 21.85 | 15/04/2026 02:44 p. m.
Isabella Young | Duke | French Bulldog | 17 | 76 | 13.57 | 01/05/2026 12:58 a. m.
Beatriz Hernandez | Toby | French Bulldog | 4 | 27 | 9.34 | 10/04/2026 09:10 a. m.
Mary Wright | Max | chihuahua | 18 | 80 | 3.76 | 25/04/2026 06:28 p. m.
Victoria Thomas | Daisy | Dachshund | 10 | 48 | 6.03 | 29/04/2026 01:24 a. m.
Mia Rodriguez | Coco | Golden Retriever | 1 | 13 | 20.57 | 23/04/2026 02:28 a. m.
Beatriz Smith | Toby | Golden Retriever | 18 | 80 | 22.41 | 22/04/2026 01:31 a. m.
Joaquin Sanchez | Duke | Poodle | 6 | 35 | 9.08 | 17/04/2026 03:39 p. m.
David Taylor | Luna | French Bulldog | 2 | 19 | 12.01 | 27/04/2026 04:07 a. m.
Noah Taylor | Bella | Siberian Husky | 11 | 52 | 18.05 | 23/04/2026 06:40 a. m.
Sebastian Rodriguez | Daisy | Dachshund | 1 | 13 | 8.71 | 11/04/2026 05:22 p. m.
lisa brown | Duke | Poodle | 9 | 47 | 19.62 | 05/05/2026 03:10 a. m.
Charlotte Williams | Bella | Siberian Husky | 9 | 47 | 22.42 | 05/05/2026 11:45 p. m.
Adela Thompson | Bruno | Siberian Husky | 11 | 52 | 25.26 | 26/04/2026 01:25 a. m.
Jessica Gonzalez | Cooper | Chihuaua | 14 | 64 | 13.18 | 22/04/2026 08:09 a. m.
Harper Gonzalez | Jack | German Shepherd | 15 | 68 | 20.45 | 10/04/2026 01:59 a. m.
Mia Garcia | MAX | Dachshund | 0 | 0 | 4.57 | 17/04/2026 02:42 a. m.
Edward Martinez | Molly | Dachshund | 4 | 27 | 8.2 | 16/04/2026 03:16 a. m.
Gabriela Wilson | Daisy | Chiuahua | 18 | 80 | 7.34 | 26/04/2026 07:28 a. m.
Leonardo Garcia | Rocky | Chiuahua | 18 | 80 | 16.8 | 02/05/2026 05:10 a. m.
Martina Taylor | Lola | Golden Retrevier | 12 | 56 | 21.25 | 03/05/2026 11:50 a. m.
Felipe Jones | Rocky | Siberian Husky | 18 | 80 | 26.74 | 24/04/2026 07:49 a. m.
Isabella Lopez | Luna | Beagle | 9 | 47 | 10.3 | 05/05/2026 04:52 p. m.
Patricia Young | Toby | Podle | 18 | 80 | 5.2 | 18/04/2026 10:05 p. m.
Harper Wilson | Bruno | Chihuahua | 18 | 80 | 2.84 | 06/05/2026 01:08 a. m.
martina gonzalez | Lola | Dashchund | 18 | 80 | 5.91 | 10/04/2026 05:16 p. m.
Patricia Harris | Daisy | Golden Retriever | 6 | 35 | 27.49 | 13/04/2026 01:58 p. m.
Ricardo Davis | molly | Golden Retriever | 18 | 80 | 22.6 | 10/04/2026 11:12 a. m.
Sofía Anderson | Rocky | Beagle | 18 | 80 | 12.63 | 30/04/2026 07:55 p. m.
Beatriz Garcia | Lola | german shepherd | 18 | 80 | 22.49 | 10/04/2026 01:34 a. m.
Felipe Davis | Zeus | Beagle | 5 | 31 | 9.44 | 23/04/2026 01:34 a. m.
Michael Smith | Daisy | German Sheperd | 18 | 80 | 16.9 | 10/04/2026 03:39 p. m.
Camila Thompson | Thor | French Bulldog | 5 | 31 | 10.0 | 10/04/2026 01:08 p. m.
Donald White | Jack | Dachshund | 18 | 80 | 9.3 | 25/04/2026 12:06 a. m.
Mary Miller | Lola | French Bulldog | 7 | 39 | 11.65 | 04/05/2026 12:45 a. m.
Harper Hernandez | Duke | Dachshund | 3 | 23 | 5.57 | 10/04/2026 09:51 a. m.
Jessica Rodriguez | Jack | POODLE | 12 | 56 | 12.42 | 21/04/2026 01:43 p. m.
Elizabeth Martin | Luna | DACHSHUND | 13 | 60 | 9.78 | 30/04/2026 08:13 p. m.
Valeria Brown | Thor | German Shepherd | 13 | 60 | 27.6 | 06/05/2026 10:39 a. m.
Adela Jones | Daisy | German Shepherd | 6 | 35 | 28.27 | 24/04/2026 02:31 p. m.
kenneth perez | THOR | French Bulldog | 9 | 47 | 8.42 | 14/04/2026 05:13 a. m.
Matthew Wilson | Molly | Dachshund | 10 | 48 | 4.0 | 13/04/2026 08:59 a. m.
karen johnson | Max | German Shepherd | 18 | 80 | 22.64 | 11/04/2026 04:51 a. m.
Emiliano Wilson | Cooper | Chihuahua | 10 | 48 | 2.24 | 22/04/2026 06:18 a. m.
Charlotte Miller | Toby | Dachshund | 18 | 80 | 9.86 | 12/04/2026 03:59 p. m.
Noah Martinez | Bella | French Bulldog | 16 | 72 | 8.75 | 21/04/2026 12:59 p. m.
Lucas Miller | DUKE | Dachund | 14 | 64 | 17.57 | 02/05/2026 01:18 a. m.
Luciana Jones | Zeus | Beagle | 18 | 80 | 11.05 | 28/04/2026 11:47 p. m.
Felipe Smith | Max | Beagle | 2 | 19 | 9.94 | 23/04/2026 12:05 p. m.
Beatriz Scott | Jack | Beagle | 18 | 80 | 14.96 | 23/04/2026 12:06 a. m.
Andrew Rodriguez | Molly | Begle | 18 | 80 | 13.73 | 01/05/2026 06:46 p. m.
BRIAN GARCIA | cooper | Chihuahua | 8 | 43 | 3.09 | 14/04/2026 01:58 a. m.
Mariana Smith | Toby | Beaggle | 14 | 64 | 8.28 | 20/04/2026 05:58 p. m.
Joshua Wright | Zeus | Dachshund | 18 | 80 | 4.89 | 13/04/2026 03:32 p. m.
Ronald Sanchez | Rocky | Golden Retriever | 6 | 35 | 22.45 | 23/04/2026 02:04 p. m.
Diego Gonzalez | Lola | German Sheperd | 8 | 43 | 19.58 | 04/05/2026 07:15 p. m.
Alejandro Smith | Rocky | Beagle | 18 | 80 | 10.31 | 21/04/2026 09:56 a. m.
Leonardo Scott | Molly | Chiuahua | 18 | 80 | 6.26 | 22/04/2026 12:10 p. m.
timothy brown | Thor | Poodle | 12 | 56 | 7.83 | 06/05/2026 07:49 a. m.
Camila Miller | Duke | Golden Retriever | 18 | 80 | 26.75 | 12/04/2026 03:00 p. m.
Matias Perez | Toby | Beagle | 16 | 72 | 10.98 | 23/04/2026 05:49 a. m.
Mia Miller | Bella | Dachund | 2 | 19 | 13.97 | 06/05/2026 04:03 a. m.
Robert Young | Lola | German Shepherd | 6 | 35 | 28.08 | 19/04/2026 02:53 p. m.
Elizabeth Rodriguez | Thor | French Bulldog | 7 | 39 | 12.92 | 12/04/2026 03:10 a. m.
Barbara Wilson | Bruno | French Bulldog | 1 | 13 | 12.2 | 22/04/2026 12:49 p. m.
Karen Harris | Luna | poodle | 5 | 31 | 11.76 | 17/04/2026 08:05 p. m.
Linda Thompson | Max | Poodle | 12 | 56 | 3.18 | 02/05/2026 02:48 a. m.
Lisa Taylor | Molly | Siberian Huski | 18 | 80 | 10.71 | 17/04/2026 07:21 p. m.
Joshua Jackson | Bella | SIBERIAN HUSKY | 18 | 80 | 22.52 | 28/04/2026 10:25 p. m.
Paul Martin | Bruno | Golden Retriever | 8 | 43 | 24.11 | 28/04/2026 07:27 a. m.
Matias King | Rocky | Beagle | 18 | 80 | 10.61 | 06/05/2026 07:39 p. m.
Oliver Perez | DUKE | Chihuahua | 18 | 80 | 2.04 | 19/04/2026 11:10 p. m.
